Sýra,Fransýzca Kelime,Tür,Türkçe Anlamý,V1 (Mastar),V2 (Geniþ Zaman),V3 (Geçmiþ Ortaç)
735,un saint,nm,,,,
735,une sainteté,nf,,,,
736,descendre,v,inmek,descendre,descend,descendu
736,descendant,adj,,,,
736,un descendant,nm,,,,
736,une descente,nf,,,,
736,redescendre,v,,,,
737,un patron,nm,patron,,,
737,patronal,adj,,,,
737,un patronage,nm,,,,
738,une marge,nf,"kenar, marj",,,
738,marginal,adj,,,,
738,un marginal,nm,,,,
738,marginaliser,v,,,,
739,un abri,nm,sýðýnak,,,
739,abriter,v,,,,
740,une recette,nf,tarif; gelir,,,
741,une vigueur,nf,"güç, dinçlik",,,
741,vigoureux,adj,,,,
741,vigoureusement,adv,,,,
742,un soleil,nm,güneþ,,,
742,solaire,adj,,,,
742,ensoleillé,adj,,,,
742,ensoleiller,v,,,,
742,l'ensoleillement,nm,,,,
743,un ennemi,nm,düþman,,,
743,ennemi,adj,,,,
744,une bourse,nf,burs; borsa,,,
744,rembourser,v,,,,
744,un remboursement,nm,,,,
744,boursier,adj,,,,
744,débourser,v,,,,
745,une dimension,nf,boyut,,,
746,déployer,v,"yaymak, sergilemek",déployer,déploie,déployé
746,un déploiement,nm,,,,
747,un dialogue,nm,diyalog,,,
747,dialoguer,v,,,,
748,un thème,nm,tema,,,
748,thématique,adj,,,,
748,une thématique,nf,,,,
749,circuler,v,dolaþmak,circuler,circule,circulé
749,une circulation,nf,,,,
750,une forêt,nf,orman,,,
750,forestier,adj,,,,
750,un forestier,nm,,,,
751,un outil,nm,alet,,,
752,"les vacances, une vacance",nf,tatil,,,
753,un défi,nm,meydan okuma,,,
753,défier,v,,,,
753,une défiance,nf,,,,
754,suspendre,v,askýya almak,suspendre,suspend,suspendu
754,une suspension,nf,,,,
754,le suspense,nm,,,,
755,calme,adj,sakin,,,
755,le calme,nm,,,,
755,calmer,v,,,,
755,calmement,adv,,,,
755,une accalmie,nf,,,,
756,une montagne,nf,dað,,,
756,un mont,nm,,,,
756,montagneux,adj,,,,
757,sévère,adj,"sert, þiddetli",,,
757,sévèrement,adv,,,,
758,un magasin,nm,"maðaza, dükkân",,,
759,monétaire,adj,parasal,,,
759,la monnaie,nf,,,,
760,un ouvrage,nm,"eser, yapýt",,,
761,une réputation,nf,itibar,,,
761,réputé,adj,,,,
762,un cabinet,nm,"büro, muayenehane",,,
763,un chien,nm,köpek,,,
764,indispensable,adj,vazgeçilmez,,,
765,une conversation,nf,sohbet,,,
765,converser,v,,,,
766,une surface,nf,yüzey,,,
767,féliciter,v,"kutlamak, tebrik etmek",féliciter,félicite,félicité
767,une félicitation,nf,,,,
767,une félicité,nf,,,,
768,une bombe,nf,bomba,,,
768,un bombardement,nm,,,,
768,bombarder,v,,,,
768,bomber,v,,,,
768,un bombardier,nm,,,,
769,une phase,nf,"aþama, evre",,,
770,une confusion,nf,kafa karýþýklýðý,,,
770,confus,adj,,,,
771,une compétence,nf,yetkinlik,,,
771,compétent,adj,,,,
771,une incompétence,nf,,,,
771,incompétent,adj,,,,
772,un bilan,nm,"bilanço, özet",,,
773,immense,adj,muazzam,,,
773,une immensité,nf,,,,
774,une chute,nf,düþüþ,,,
774,chuter,v,,,,
774,"un, une parachutiste","nm, nf",,,,
775,constant,adj,"sabit, sürekli",,,
775,constamment,adv,,,,
776,intégrer,v,entegre etmek,intégrer,intègre,intégré
776,une intégration,nf,,,,
776,une intégrité,nf,,,,
776,intégral,adj,,,,
776,un intégral,nm,,,,
776,intégrant,adj,,,,
776,intégré,adj,,,,
776,intégralement,adv,,,,
776,réintégrer,v,,,,
776,intégriste,adj,,,,
776,"un, une intégriste","nm, nf",,,,
776,une intégralité,nf,,,,
776,une désintégration,nf,,,,
777,une pierre,nf,taþ,,,
778,régulier,adj,düzenli,,,
778,régulièrement,adv,,,,
778,irrégulier,adj,,,,
778,une régularité,nf,,,,
778,une irrégularité,nf,,,,
778,réguler,v,,,,
778,régulateur,adj,,,,
778,une régularisation,nf,,,,
779,une boîte,nf,kutu,,,
779,emboîter,v,,,,
780,une théorie,nf,teori,,,
780,théorique,adj,,,,
780,théoriquement,adv,,,,
780,un théoricien,nm,,,,
781,un hôtel,nm,otel,,,
781,l'hôtellerie,nf,,,,
781,hôtelier,adj,,,,
781,un hôtelier,nm,,,,
782,nier,v,inkâr etmek,nier,nie,nié
782,un déni,nm,,,,
782,renier,v,,,,
783,un phénomène,nm,fenomen,,,
783,phénoménal,adj,,,,
784,une église,nf,kilise,,,
785,récupérer,v,geri kazanmak,récupérer,récupère,récupéré
785,une récupération,nf,,,,
786,doter,v,donatmak (çeyiz ile),doter,dote,doté
786,une dotation,nf,,,,
786,une dot,nf,,,,
787,un test,nm,test,,,
787,tester,v,,,,
788,une pêche,nf,þeftali,,,
788,un pêcheur,nm,,,,
788,pêcher,v,,,,
788,un pêcher,nm,,,,
788,une pêcherie,nf,,,,
788,repêcher,v,,,,
789,potentiel,adj,potansiyel,,,
789,un potentiel,nm,,,,
789,potentiellement,adv,,,,
789,une potentialité,nf,,,,
790,agricole,adj,tarýmsal,,,
790,une agriculture,nf,,,,
790,un agriculteur,nm,,,,
791,intellectuel,adj,entelektüel,,,
791,intelligent,adj,,,,
791,une intelligence,nf,,,,
792,pencher,v,eðilmek,pencher,penche,penché
792,un penchant,nm,,,,
793,un coin,nm,köþe,,,
793,coincer,v,,,,
794,uniforme,adj,tekdüze,,,
794,un uniforme,nm,,,,
794,une uniformité,nf,,,,
795,fidèle,adj,sadýk,,,
795,"un, une fidèle","nm, nf",,,,
795,une fidélité,nf,,,,
795,fidèlement,adv,,,,
795,infidèle,adj,,,,
796,une grève,nf,grev,,,
796,"un, une gréviste","nm, nf",,,,
797,mentionner,v,"belirtmek, bahsetmek",mentionner,mentionne,mentionné
797,une mention,nf,,,,
797,susmentionné,adj,,,,
798,une exécution,nf,"icra, infaz",,,
798,exécuter,v,,,,
798,exécutif,adj,,,,
798,l'exécutif,nm,,,,
798,exécutoire,adj,,,,
799,distinguer,v,ayýrt etmek,distinguer,distingue,distingué
799,une distinction,nf,,,,
799,distinct,adj,,,,
799,distingué,adj,,,,
799,distinctement,adv,,,,
800,veiller,v,nöbet tutmak,veiller,veille,veillé
800,une veille,nf,,,,
801,une dette,nf,borç,,,
801,un endettement,nm,,,,
801,endetter,v,,,,
802,chanter,v,þarký söylemek,chanter,chante,chanté
802,une chanson,nf,,,,
802,un chanteur,nm,,,,
802,un chant,nm,,,,
803,une pension,nf,emeklilik maaþý; pansiyon,,,
804,clore,v,"kapatmak, sona erdirmek",clore,clôt,clos
804,une clôture,nf,,,,
804,clôturer,v,,,,
805,la neige,nf,kar,,,
805,neigeux,adj,,,,
806,massif,adj,"masif, büyük",,,
806,un massif,nm,,,,
806,une masse,nf,,,,
806,massivement,adv,,,,
807,susceptible,adj,"hassas, alýngan",,,
808,étroit,adj,dar,,,
808,étroitement,adv,,,,
809,un goût,nm,"tat, zevk",,,
809,goûter,v,,,,
809,un goûter,nm,,,,
809,un dégoût,nm,,,,
809,dégoûtant,adj,,,,
809,dégoûter,v,,,,
810,une prestation,nf,"hizmet, katký",,,
810,"un, une prestataire","nm, nf",,,,
811,régner,v,hüküm sürmek,régner,règne,régné
811,un règne,nm,,,,
812,une catastrophe,nf,felaket,,,
812,catastrophique,adj,,,,
812,catastropher,v,,,,
813,dormir,v,uyumak,dormir,dort,dormi
813,endormir,v,,,,
814,une bouche,nf,aðýz,,,
814,déboucher,v,,,,
814,un débouché,nm,,,,
814,boucher,v,,,,
814,un boucher,nm,,,,
814,un bouchon,nm,,,,
815,une excuse,nf,özür,,,
815,excuser,v,,,,
816,triste,adj,üzgün,,,
816,une tristesse,nf,,,,
816,tristement,adv,,,,
816,attrister,v,,,,
817,classique,adj,klasik,,,
817,un classique,nm,,,,
818,une alliance,nf,ittifak; alyans,,,
818,allié,adj,,,,
818,allier,v,,,,
818,rallier,v,,,,
818,un ralliement,nm,,,,
819,une trace,nf,iz,,,
819,tracer,v,,,,
819,un tracé,nm,,,,
819,retracer,v,,,,
820,un logement,nm,konut,,,
820,loger,v,,,,
820,une loge,nf,,,,
820,un logis,nm,,,,
820,déloger,v,,,,
821,plaindre,v,þikayet etmek,plaindre,plaint,plaint
821,une plainte,nf,,,,
821,un plaignant,nm,,,,
822,chaud,adj,sýcak,,,
822,le chaud,nm,,,,
822,chauffer,v,,,,
822,réchauffer,v,,,,
822,une chaleur,nf,,,,
822,chaleureux,adj,,,,
822,chaleureusement,adv,,,,
823,taire,v,"sessiz kalmak, saklamak",taire,tait,tu
824,une émotion,nf,duygu,,,
824,émouvoir,v,,,,
824,une émeute,nf,,,,
824,émouvant,adj,,,,
824,ému,adj,,,,
824,émotionnel,adj,,,,
824,émotif,adj,,,,
825,judiciaire,adj,"yargýsal, adli",,,
825,judicieux,adj,,,,
826,un secours,nm,yardým,,,
826,secourir,v,,,,
826,un secouriste,nm,,,,
827,confronter,v,yüzleþtirmek,confronter,confronte,confronté
827,une confrontation,nf,,,,
828,strict,adj,"katý, sýký",,,
828,strictement,adv,,,,
829,un club,nm,kulüp,,,
830,ouvrier,adj,iþçi (sýfat),,,
830,un ouvrier,nm,,,,
831,un immeuble,nm,apartman,,,
831,immobilier,adj,,,,
831,l'immobilier,nm,,,,
832,une passion,nf,tutku,,,
832,passionner,v,,,,
832,la compassion,nf,,,,
832,passionnant,adj,,,,
832,passionnément,adv,,,,
832,passionnel,adj,,,,
833,compliquer,v,karmaþýklaþtýrmak,compliquer,complique,compliqué
833,compliqué,adj,,,,
833,une complication,nf,,,,
834,assumer,v,"üstlenmek, kabullenmek",assumer,assume,assumé
835,partiel,adj,kýsmi,,,
835,partiellement,adv,,,,
836,un argument,nm,argüman,,,
836,une argumentation,nf,,,,
836,argumenter,v,,,,
837,une planète,nf,gezegen,,,
837,planétaire,adj,,,,
838,"un, une maire","nm, nf",belediye baþkaný,,,
838,une mairie,nf,,,,
839,délicat,adj,"narin, hassas",,,
839,une délicatesse,nf,,,,
840,un attentat,nm,suikast giriþimi,,,
841,boire,v,içmek,boire,boit,bu
841,une boisson,nf,,,,
842,une caisse,nf,kasa; sandýk,,,
842,encaisser,v,,,,
842,un caissier,nm,,,,
843,un hasard,nm,"tesadüf, þans",,,
844,un héros,nm,kahraman,,,
844,l'héroïne,nf,,,,
844,héroïque,adj,,,,
844,l'héroïsme,nm,,,,
845,une oreille,nf,kulak,,,
845,un oreiller,nm,,,,
846,incident,adj,"arýzi, geçici",,,
846,un incident,nm,,,,
846,une incidence,nf,,,,
847,un café,nm,kahve; kafe,,,
848,un pont,nm,köprü,,,
849,foutre,v,yapmak (argo),foutre,fout,foutu
849,foutu,adj,,,,
850,apercevoir,v,fark etmek,apercevoir,aperçoit,aperçu
850,inaperçu,adj,,,,
850,un aperçu,nm,,,,
851,refléter,v,yansýtmak,refléter,reflète,reflété
851,un reflet,nm,,,,
852,bouger,v,hareket etmek,bouger,bouge,bougé
853,une foule,nf,kalabalýk,,,
853,une foulée,nf,,,,
853,fouler,v,,,,
854,chrétien,adj,hristiyan,,,
855,un talent,nm,yetenek,,,
855,talentueux,adj,,,,
856,isoler,v,izole etmek,isoler,isole,isolé
856,isolé,adj,,,,
856,un isolement,nm,,,,
857,une norme,nf,"norm, kural",,,
858,animer,v,canlandýrmak,animer,anime,animé
858,un animateur,nm,,,,
858,une animation,nf,,,,
858,ranimer,v,,,,
859,la statistique,nf,istatistik,,,
859,statistique,adj,,,,
860,une piste,nf,"pist, iz",,,
860,un dépistage,nm,,,,
861,préserver,v,"korumak, muhafaza etmek",préserver,préserve,préservé
861,une préservation,nf,,,,
862,un hommage,nm,"saygý, övgü",,,
863,inférieur,adj,"aþaðý, alt",,,
864,un match,nm,maç,,,
865,une tragédie,nf,trajedi,,,
865,tragique,adj,,,,
866,un scandale,nm,skandal,,,
866,scandaleux,adj,,,,
866,scandaliser,v,,,,
867,un billet,nm,bilet,,,
868,un choc,nm,"þok, darbe",,,
868,choquer,v,,,,
868,choquant,adj,,,,
869,une proportion,nf,oran,,,
869,proportionnel,adj,,,,
870,un canal,nm,kanal,,,
870,canaliser,v,,,,
871,briser,v,"kýrmak, parçalamak",briser,brise,brisé
872,reculer,v,geri çekilmek,reculer,recule,reculé
872,un recul,nm,,,,
873,un critère,nm,"kriter, ölçüt",,,
874,brûler,v,yakmak,brûler,brûle,brûlé
874,une brûlure,nf,,,,
874,brûlant,adj,,,,
875,une manœuvre,nf,manevra,,,
875,manœuvrer,v,,,,
876,quelconque,adj,"herhangi, sýradan",,,
877,le courrier,nm,posta,,,
878,élaborer,v,"hazýrlamak, geliþtirmek",élaborer,élabore,élaboré
878,une élaboration,nf,,,,
879,un doigt,nm,parmak,,,
880,illustrer,v,"göstermek, örneklemek",illustrer,illustre,illustré
880,une illustration,nf,,,,
880,illustre,adj,,,,
881,une poche,nf,cep,,,
881,empocher,v,,,,
882,affronter,v,"yüzleþmek, karþý koymak",affronter,affronte,affronté
882,un affrontement,nm,,,,
882,un affront,nm,,,,
883,éclater,v,"patlamak, çatlamak",éclater,éclate,éclaté
883,un éclat,nm,,,,
883,éclatant,adj,,,,
883,un éclatement,nm,,,,
884,une honte,nf,utanç,,,
884,honteux,adj,,,,
885,mêler,v,karýþtýrmak,mêler,mêle,mêlé
885,un mélange,nm,,,,
885,mélanger,v,,,,
886,un bonheur,nm,mutluluk,,,
887,crier,v,baðýrmak,crier,crie,crié
887,un cri,nm,,,,
887,s'écrier,v,,,,
887,criant,adj,,,,
888,un bâtiment,nm,bina,,,
888,bâtir,v,,,,
889,un époux,nm,"koca, eþ",,,
889,épouser,v,,,,
890,une firme,nf,"firma, þirket",,,
891,plonger,v,dalmak,plonger,plonge,plongé
891,une plongée,nf,,,,
891,replonger,v,,,,
891,un plongeur,nm,,,,
892,un véhicule,nm,"araç, taþýt",,,
892,véhiculer,v,,,,
893,fuir,v,kaçmak; sýzdýrmak,fuir,fuit,fui
893,s'enfuir,v,,,,
893,une fuite,nf,,,,
894,varier,v,"deðiþmek, farklýlýk göstermek",varier,varie,varié
894,variable,adj,,,,
894,une variable,nf,,,,
894,une variété,nf,,,,
894,une variation,nf,,,,
894,une variante,nf,,,,
894,invariablement,adv,,,,
895,inventer,v,icat etmek,inventer,invente,inventé
895,une invention,nf,,,,
895,un inventeur,nm,,,,
895,réinventer,v,,,,
896,un stade,nm,stadyum,,,
897,contester,v,"itiraz etmek, tartýþmak",contester,conteste,contesté
897,une contestation,nf,,,,
897,incontestable,adj,,,,
897,incontestablement,adv,,,,
897,contestable,adj,,,,
898,un congrès,nm,kongre,,,
899,multiplier,v,çoðaltmak,multiplier,multiplie,multiplié
899,multiple,adj,,,,
899,un multiple,nm,,,,
899,une multiplication,nf,,,,
899,une multiplicité,nf,,,,
900,la joie,nf,sevinç,,,
900,joyeux,adj,,,,
900,joyeusement,adv,,,,
901,une faim,nf,açlýk,,,
901,une famine,nf,,,,
901,affamé,adj,,,,
901,affamer,v,,,,
902,un cerveau,nm,beyin,,,
902,la cervelle,nf,,,,
903,un truc,nm,"hile, numara",,,
903,truquer,v,,,,
904,scolaire,adj,okula ait,,,
904,une scolarité,nf,,,,
905,diffuser,v,yaymak (radyo/tv),diffuser,diffuse,diffusé
905,une diffusion,nf,,,,
905,une radiodiffusion,nf,,,,
905,diffus,adj,,,,
905,un diffuseur,nm,,,,
906,inclure,v,"eklemek, dahil etmek",inclure,inclut,inclus
906,inclus,adj,,,,
906,une inclusion,nf,,,,
907,un style,nm,"stil, tarz",,,
908,combler,v,"doldurmak, gidermek",combler,comble,comblé
908,comble,adj,,,,
908,un comble,nm,,,,
909,une ombre,nf,gölge,,,
909,ombrer,v,,,,
910,annuler,v,iptal etmek,annuler,annule,annulé
910,une annulation,nf,,,,
911,bloquer,v,"engellemek, bloke etmek",bloquer,bloque,bloqué
911,un bloc,nm,,,,
911,un blocage,nm,,,,
911,débloquer,v,,,,
912,un climat,nm,iklim,,,
912,climatique,adj,,,,
913,un séjour,nm,"kalýþ, konaklama",,,
913,séjourner,v,,,,
914,guider,v,"yönlendirmek, rehberlik etmek",guider,guide,guidé
914,un guide,nm,,,,
915,un sport,nm,spor,,,
915,sportif,adj,,,,
915,un sportif,nm,,,,
916,une douleur,nf,"acý, aðrý",,,
916,douloureux,adj,,,,
917,une issue,nf,çýkýþ; çare,,,
917,issu de,adj,,,,
918,généreux,adj,cömert,,,
918,une générosité,nf,,,,
918,généreusement,adv,,,,
919,suprême,adj,"yüce, en üst",,,
919,une suprématie,nf,,,,
920,éventuel,adj,"olasý, muhtemel",,,
920,éventuellement,adv,,,,
920,une éventualité,nf,,,,
921,blesser,v,yaralamak,blesser,blesse,blessé
921,blessé,adj,,,,
921,une blessure,nf,,,,
922,reporter,v,ertelemek,reporter,reporte,reporté
922,un reporter,nm,,,,
922,un report,nm,,,,
923,un partisan,nm,taraftar,,,
923,partisan,adj,,,,
924,un impact,nm,"etki, çarpýþma",,,
925,un magazine,nm,dergi,,,
926,une collaboration,nf,iþbirliði,,,
926,un collaborateur,nm,,,,
926,collaborer,v,,,,
927,procurer,v,"temin etmek, saðlamak",procurer,procure,procuré
927,un procureur,nm,,,,
928,un infirmier,nm,hemþire (erkek),,,
928,infirmier,adj,,,,
929,censé,adj,"sanýlan, öyle kabul edilen",,,
930,innocent,adj,masum,,,
930,une innocence,nf,,,,
931,fameux,adj,ünlü,,,
932,cultiver,v,"yetiþtirmek, ekmek",cultiver,cultive,cultivé
932,cultivé,adj,,,,
933,doux,adj,"yumuþak, tatlý",,,
933,doucement,adv,,,,
933,une douceur,nf,,,,
933,adoucir,v,,,,
934,jouir,v,keyif almak,jouir,jouit,joui
934,une jouissance,nf,,,,
934,réjouir,v,,,,
935,parcourir,v,"gezmek, katetmek",parcourir,parcourt,parcouru
935,un parcours,nm,,,,
936,électrique,adj,elektrikli,,,
936,électronique,adj,,,,
936,l'électronique,nf,,,,
936,l'électricité,nf,,,,
936,un électron,nm,,,,
936,radioélectrique,adj,,,,
936,électromagnétique,adj,,,,
937,un seuil,nm,eþik,,,
937,audiovisuel,adj,,,,
937,un auditoire,nm,,,,
937,un audit,nm,,,,
938,une audience,nf,dinleyici kitlesi; oturum,,,
938,une audition,nf,,,,
938,un auditeur,nm,,,,
939,une minorité,nf,azýnlýk,,,
939,minoritaire,adj,,,,
939,"un, une minoritaire","nm, nf",,,,
940,une phrase,nf,cümle,,,
941,provisoire,adj,geçici,,,
941,un provisoire,nm,,,,
941,provisoirement,adv,,,,
942,dynamique,adj,dinamik,,,
942,la dynamique,nf,,,,
942,le dynamisme,nm,,,,
942,dynamiser,v,,,,
943,renverser,v,devirmek,renverser,renverse,renversé
943,un renversement,nm,,,,
943,renversé,adj,,,,
944,trouble,adj,bulanýk,,,
944,un trouble,nm,,,,
944,troubler,v,,,,
944,troublant,adj,,,,
944,troublé,adj,,,,
945,désoler,v,"üzmek, harap etmek",désoler,désole,désolé
945,une désolation,nf,,,,
946,accélérer,v,hýzlandýrmak,accélérer,accélère,accéléré
946,une accélération,nf,,,,
946,accélérateur,adj,,,,
946,un accélérateur,nm,,,,
947,la littérature,nf,edebiyat,,,
947,littéraire,adj,,,,
947,"un, une littéraire","nm, nf",,,,
947,littéralement,adv,,,,
947,littéral,adj,,,,
948,résider,v,"ikamet etmek, dayanmak",résider,réside,résidé
948,une résidence,nf,,,,
948,un résident,nm,,,,
948,résidentiel,adj,,,,
949,un adolescent,nm,"genç, ergen",,,
949,l'adolescence,nf,,,,
950,dessiner,v,"çizmek, desen çizmek",dessiner,dessine,dessiné
950,un dessin,nm,,,,
950,un dessinateur,nm,,,,
951,une aventure,nf,macera,,,
951,aventurer,v,,,,
951,un aventurier,nm,,,,
952,une prime,nf,"prim, ikramiye",,,
952,primer,v,,,,
953,emmener,v,götürmek,emmener,emmène,emmené
954,alimentaire,adj,gýdaya ait,,,
954,alimenter,v,,,,
954,un aliment,nm,,,,
954,l'alimentation,nf,,,,
955,un marin,nm,denizci,,,
955,marin,adj,,,,
955,maritime,adj,,,,
955,la marine,nf,,,,
955,marine,adj,,,,
956,intermédiaire,adj,"ara, aracý",,,
956,"un, une intermédiaire","nm, nf",,,,
957,un vœu,nm,"dilek, arzu",,,
957,vouer,v,,,,
958,dresser,v,"dikmek, kurmak",dresser,dresse,dressé
958,redresser,v,,,,
958,un redressement,nm,,,,
959,afficher,v,"asmak, ilan etmek",afficher,affiche,affiché
959,une affiche,nf,,,,
959,un affichage,nm,,,,
960,fragile,adj,kýrýlgan,,,
960,une fragilité,nf,,,,
960,fragiliser,v,,,,
961,survenir,v,aniden ortaya çýkmak,survenir,survient,survenu
962,un arbre,nm,aðaç,,,
963,sauter,v,atlamak; patlamak,sauter,saute,sauté
963,un saut,nm,,,,
964,une chasse,nf,av,,,
964,chasser,v,,,,
964,un chasseur,nm,,,,
964,pourchasser,v,,,,
965,un collège,nm,ortaokul,,,
966,un morceau,nm,parça,,,
966,mordre,v,,,,
967,une discipline,nf,"disiplin, bilim dalý",,,
967,discipliner,v,,,,
968,une explosion,nf,patlama,,,
968,exploser,v,,,,
968,explosif,adj,,,,
969,une peau,nf,"deri, cilt",,,
970,une orientation,nf,yönelim,,,
970,orienter,v,,,,
971,un paragraphe,nm,paragraf,,,
972,radical,adj,radikal,,,
972,un radical,nm,,,,
972,radicalement,adv,,,,
973,tolérer,v,"hoþgörmek, katlanmak",tolérer,tolère,toléré
973,une tolérance,nf,,,,
973,intolérable,adj,,,,
973,tolérant,adj,,,,
973,une intolérance,nf,,,,
974,une copie,nf,kopya,,,
974,copier,v,,,,
975,rédiger,v,"kaleme almak, yazmak",rédiger,rédige,rédigé
975,une rédaction,nf,,,,
975,un rédacteur,nm,,,,
976,magnifique,adj,muhteþem,,,
977,une promotion,nf,"promosyon, terfi",,,
977,promouvoir,v,,,,
977,un promoteur,nm,,,,
977,une promo,nf,,,,
978,une branche,nf,"dal, þube",,,
978,brancher,v,,,,
978,débrancher,v,,,,
979,une section,nf,"bölüm, kesim",,,
980,pair,adj,çift (sayý),,,
980,un pair,nm,,,,
980,une paire,nf,,,,
980,impair,adj,,,,
981,contraindre,v,zorlamak,contraindre,contraint,contraint
981,une contrainte,nf,,,,
981,contraint,adj,,,,
981,contraignant,adj,,,,
982,trancher,v,"kesmek, karar vermek",trancher,tranche,tranché
982,une tranche,nf,,,,
982,tranchant,adj,,,,
982,un tranchant,nm,,,,
982,retrancher,v,,,,
983,punir,v,cezalandýrmak,punir,punit,puni
983,une punition,nf,,,,
983,une impunité,nf,,,,
983,impunément,adv,,,,
984,une cellule,nf,hücre,,,
985,déclencher,v,tetiklemek,déclencher,déclenche,déclenché
985,un déclenchement,nm,,,,
986,une connexion,nf,baðlantý,,,
986,connecter,v,,,,
986,une déconnexion,nf,,,,
986,connexe,adj,,,,
986,déconnecter,v,,,,
986,une interconnexion,nf,,,,
987,une option,nf,seçenek,,,
987,opter,v,,,,
988,le pétrole,nm,petrol,,,
988,pétrolier,adj,,,,
989,un laboratoire,nm,laboratuvar,,,
990,coucher,v,"yatýrmak, yatmak",coucher,couche,couché
990,un coucher,nm,,,,
990,une couche,nf,,,,
991,un département,nm,"bölüm, departman",,,
991,départemental,adj,,,,
992,un génie,nm,dâhi,,,
992,génial,adj,,,,
993,une rumeur,nf,söylenti,,,
994,une solitude,nf,yalnýzlýk,,,
994,solitaire,adj,,,,
994,"un, une solitaire","nm, nf",,,,
995,drôle,adj,"komik, tuhaf",,,
995,drôlement,adv,,,,
996,plat,adj,"düz, yassý; sýkýcý",,,
996,un plat,nm,,,,
996,un plateau,nm,,,,
996,aplatir,v,,,,
997,une maman,nf,anne (argo),,,
998,une dignité,nf,"onur, haysiyet",,,
998,digne,adj,,,,
998,une indignation,nf,,,,
998,indigner,v,,,,
998,indigne,adj,,,,
998,dignement,adv,,,,
999,légitime,adj,meþru,,,
999,une légitimité,nf,,,,
999,légitimer,v,,,,
999,légitimement,adv,,,,
999,illégitime,adj,,,,
1000,une philosophie,nf,felsefe,,,
1000,philosophe,adj,,,,
1000,"un, une philosophe","nm, nf",,,,
1000,philosophique,adj,,,,
1000,philosopher,v,,,,
1001,un verre,nm,,,,
1002,spécifique,adj,,,,
1002,spécifier,v,,,,
1002,une spécification,nf,,,,
1002,spécifiquement,adv,,,,
1003,un docteur,nm,,,,
1003,un doctorat,nm,,,,
1004,un trou,nm,,,,
1004,trouer,v,,,,
1005,mental,adj,,,,
1005,une mentalité,nf,,,,
1005,mentalement,adv,,,,
1006,casser,v,,,,
1006,une cassation,nf,,,,
1006,cassé,adj,,,,
1006,une casse,nf,,,,
1007,conformément,adv,,,,
1007,conforme,adj,,,,
1007,conformer,v,,,,
1007,une conformité,nf,,,,
1007,le conformisme,nm,,,,
1008,croiser,v,,,,
1008,une croix,nf,,,,
1008,croisé,adj,,,,
1008,un croisé,nm,,,,
1008,une croisière,nf,,,,
1008,un croisement,nm,,,,
1009,plastique,adj,,,,
1009,le plastique,nm,,,,
1010,autonome,adj,,,,
1010,une autonomie,nf,,,,
1011,un héritage,nm,,,,
1011,hériter,v,,,,
1011,un héritier,nm,,,,
1011,une héritabilité,nf,,,,
1012,parallèle,adj,,,,
1012,un parallèle,nm,,,,
1012,parallèlement,adv,,,,
1013,répartir,v,,,,
1013,une répartition,nf,,,,
1014,réveiller,v,,,,
1014,éveiller,v,,,,
1014,un réveil,nm,,,,
1014,un éveil,nm,,,,
1015,un satellite,nm,,,,
1015,satellitaire,adj,,,,
1016,municipal,adj,,,,
1016,une municipalité,nf,,,,
1017,songer,v,,,,
1017,un songe,nm,,,,
1018,merveilleux,adj,,,,
1018,une merveille,nf,,,,
1018,émerveiller,v,,,,
1018,merveilleusement,adv,,,,
1019,inciter,v,,,,
1019,une incitation,nf,,,,
1019,incitatif,adj,,,,
1020,urbain,adj,,,,
1021,un musée,nm,,,,
1022,une pluie,nf,,,,
1022,pleuvoir,v,,,,
1023,une précaution,nf,,,,
1024,anticiper,v,,,,
1024,une anticipation,nf,,,,
1025,un cheval,nm,,,,
1025,un chevalier,nm,,,,
1025,un chevauchement,nm,,,,
1025,chevaucher,v,,,,
1025,chevauchant,adj,,,,
1026,un suicide,nm,,,,
1026,suicider,v,,,,
1026,suicidaire,adj,,,,
1027,une rivière,nf,,,,
1027,une rive,nf,,,,
1027,un rivage,nm,,,,
1027,riverain,adj,,,,
1027,un riverain,nm,,,,
1028,avertir,v,,,,
1028,un avertissement,nm,,,,
1029,enceinte,adj,,,,
1029,une enceinte,nf,,,,
1030,une substance,nf,,,,
1030,substantiel,adj,,,,
1031,un récit,nm,,,,
1031,réciter,v,,,,
1032,une revendication,nf,,,,
1032,revendiquer,v,,,,
1033,un sondage,nm,,,,
1033,sonder,v,,,,
1033,une sonde,nf,,,,
1034,débarrasser,v,,,,
1035,musulman,adj,,,,
1035,un musulman,nm,,,,
1036,légal,adj,,,,
1036,illégal,adj,,,,
1036,une légalité,nf,,,,
1036,légalement,adv,,,,
1036,illégalement,adv,,,,
1036,légaliser,v,,,,
1037,pleurer,v,,,,
1037,les pleurs,nf,,,,
1038,l'immigration,nf,,,,
1038,un immigrant,nm,,,,
1038,immigrer,v,,,,
1038,une migration,nf,,,,
1038,un migrant,nm,,,,
1038,migratoire,adj,,,,
1038,émigrer,v,,,,
1038,une émigration,nf,,,,
1038,migrateur,adj,,,,
1039,un cancer,nm,,,,
1039,cancéreux,adj,,,,
1040,lâcher,v,,,,
1040,un lâcher,nm,,,,
1040,relâcher,v,,,,
1040,une relâche,nf,,,,
1040,une lâcheté,nf,,,,
1040,un relâchement,nm,,,,
1041,un cercle,nm,,,,
1041,encercler,v,,,,
1042,génétiquement,adj,,,,
