Sýra,Fransýzca Kelime,Tür,Türkçe Anlamý,V1 (Mastar),V2 (Geniþ Zaman),V3 (Geçmiþ Ortaç)
124,un détournement,nm,,,,
124,incontournable,adj,,,,
124,une tournure,nf,,,,
124,tourné,adj,,,,
125,participer,v,katýlmak,participer,participe,participé
125,une participation,nf,,,,
125,participant,adj,,,,
125,un participant,nm,,,,
126,vieux,adj,yaþlý,,,
126,un vieux,nm,,,,
126,vieillir,v,,,,
126,un vieillard,nm,,,,
126,une vieillesse,nf,,,,
127,rapidement,adv,hýzlýca,,,
127,rapide,adj,,,,
127,une rapidité,nf,,,,
128,respecter,v,saygý göstermek,respecter,respecte,respecté
128,un respect,nm,,,,
128,respectif,adj,,,,
128,respectivement,adv,,,,
128,respectueux,adj,,,,
128,respectable,adj,,,,
128,respectueusement,adv,,,,
129,un passage,nm,"geçiþ, geçit",,,
129,un passager,nm,,,,
129,passager,adj,,,,
130,essentiel,adj,"temel, esas",,,
130,essentiellement,adv,,,,
130,l'essence,nf,,,,
131,adopter,v,"benimsemek, kabul etmek",adopter,adopte,adopté
131,une adoption,nf,,,,
132,subir,v,"maruz kalmak, geçirmek",subir,subit,subi
133,environ,adv,"yaklaþýk, civarýnda",,,
133,les environs,nm,,,,
134,une expérience,nf,deneyim; deney,,,
134,expérimental,adj,,,,
134,expérimenter,v,,,,
134,une expérimentation,nf,,,,
134,expérimenté,adj,,,,
135,admettre,v,"kabul etmek, itiraf etmek",admettre,admet,admis
135,inadmissible,adj,,,,
135,une admission,nf,,,,
135,une admissibilité,nf,,,,
136,découvrir,v,keþfetmek,découvrir,découvre,découvert
136,couvrir,v,,,,
136,une couverture,nf,,,,
136,une découverte,nf,,,,
136,recouvrir,v,,,,
136,un couvert,nm,,,,
136,couvert,adj,,,,
136,un couvercle,nm,,,,
136,redécouvrir,v,,,,
137,assister,v,"yardým etmek; katýlmak, hazýr bulunmak",assister,assiste,assisté
137,une assistance,nf,,,,
137,un assistant,nm,,,,
138,un sénateur,nm,senatör,,,
138,un sénat,nm,,,,
139,dépasser,v,"geçmek, sollamak",dépasser,dépasse,dépassé
139,un dépassement,nm,,,,
